iter	Passed	Remaining
0	157	156872
1	158	78986
2	159	53125
3	160	40038
4	162	32336
5	164	27291
6	166	23559
7	167	20740
8	168	18542
9	169	16771
10	170	15314
11	171	14106
12	172	13091
13	173	12225
14	174	11469
15	175	10813
16	177	10284
17	179	9797
18	180	9337
19	181	8914
20	183	8538
21	184	8185
22	185	7862
23	186	7564
24	186	7292
25	188	7045
26	189	6817
27	190	6601
28	192	6460
29	194	6285
30	195	6110
31	196	5940
32	197	5781
33	198	5631
34	199	5487
35	200	5356
36	200	5230
37	201	5110
38	202	4997
39	203	4888
40	204	4784
41	206	4709
42	208	4635
43	209	4556
44	210	4473
45	211	4391
46	212	4311
47	213	4233
48	214	4158
49	214	4082
50	215	4011
51	216	3944
52	217	3880
53	217	3818
54	218	3761
55	220	3725
56	222	3680
57	223	3635
58	224	3583
59	225	3536
60	226	3486
61	227	3438
62	227	3390
63	228	3343
64	229	3298
65	230	3255
66	230	3213
67	231	3172
68	232	3131
69	232	3092
70	233	3053
71	236	3048
72	237	3018
73	238	2990
74	240	2960
75	240	2927
76	241	2894
77	242	2861
78	242	2829
79	243	2799
80	244	2769
81	244	2742
82	245	2710
83	246	2683
84	246	2655
85	247	2628
86	247	2602
87	259	2688
88	260	2665
89	261	2639
90	261	2614
91	262	2590
92	263	2566
93	263	2541
94	264	2519
95	267	2514
96	268	2496
97	269	2479
98	270	2462
99	271	2441
100	272	2422
101	273	2405
102	273	2385
103	274	2365
104	276	2360
105	278	2350
106	280	2342
107	282	2332
108	283	2318
109	284	2302
110	285	2286
111	286	2270
112	287	2255
113	287	2238
114	288	2221
115	289	2205
116	289	2188
117	290	2173
118	291	2158
119	292	2143
120	293	2129
121	293	2113
122	294	2100
123	296	2096
124	298	2086
125	299	2076
126	300	2065
127	301	2056
128	302	2042
129	303	2028
130	303	2014
131	304	2000
132	304	1987
133	305	1974
134	306	1961
135	306	1949
136	307	1937
137	308	1925
138	308	1913
139	310	1910
140	312	1902
141	313	1891
142	314	1883
143	315	1873
144	316	1867
145	317	1857
146	318	1847
147	319	1836
148	319	1825
149	320	1814
150	320	1803
151	321	1793
152	322	1782
153	322	1772
154	323	1762
155	324	1752
156	324	1744
157	326	1741
158	328	1736
159	329	1729
160	330	1721
161	331	1713
162	332	1705
163	332	1696
164	333	1687
165	334	1678
166	334	1670
167	335	1662
168	336	1653
169	336	1644
170	338	1641
171	340	1637
172	341	1631
173	342	1625
174	343	1618
175	344	1612
176	345	1604
177	345	1596
178	346	1588
179	346	1579
180	347	1572
181	348	1564
182	348	1556
183	349	1549
184	349	1541
185	350	1534
186	351	1527
187	351	1520
188	353	1515
189	355	1514
190	356	1510
191	357	1505
192	358	1499
193	359	1494
194	360	1487
195	361	1481
196	361	1474
197	362	1467
198	362	1460
199	363	1454
200	364	1447
201	364	1440
202	365	1434
203	365	1427
204	366	1421
205	367	1416
206	370	1418
207	371	1415
208	372	1410
209	373	1405
210	374	1400
211	375	1396
212	376	1391
213	377	1386
214	378	1381
215	379	1377
216	380	1374
217	384	1378
218	385	1373
219	386	1369
220	387	1366
221	388	1361
222	389	1357
223	390	1353
224	391	1348
225	392	1343
226	392	1338
227	393	1332
228	394	1327
229	395	1322
230	395	1317
231	396	1312
232	398	1311
233	399	1308
234	400	1305
235	401	1301
236	402	1296
237	403	1292
238	404	1288
239	405	1283
240	405	1278
241	406	1273
242	406	1267
243	407	1262
244	408	1258
245	408	1253
246	409	1248
247	410	1243
248	410	1238
249	411	1233
250	412	1232
251	414	1230
252	415	1226
253	416	1223
254	417	1220
255	418	1216
256	419	1212
257	419	1207
258	420	1202
259	421	1198
260	421	1193
261	422	1190
262	423	1185
263	423	1181
264	424	1177
265	424	1172
266	425	1168
267	426	1164
268	428	1164
269	430	1164
270	431	1161
271	432	1158
272	434	1155
273	434	1151
274	435	1148
275	436	1144
276	436	1140
277	437	1136
278	438	1132
279	438	1128
280	439	1124
281	440	1121
282	441	1117
283	443	1117
284	444	1115
285	445	1112
286	446	1110
287	447	1106
288	448	1104
289	449	1101
290	450	1097
291	451	1094
292	451	1090
293	452	1086
294	453	1083
295	453	1079
296	454	1075
297	455	1072
298	455	1068
299	457	1067
300	459	1066
301	460	1063
302	461	1060
303	461	1057
304	462	1054
305	463	1051
306	464	1048
307	465	1044
308	465	1041
309	466	1037
310	466	1034
311	467	1031
312	468	1027
313	468	1024
314	469	1020
315	470	1017
316	470	1013
317	471	1010
318	473	1010
319	474	1008
320	475	1005
321	476	1003
322	477	1001
323	478	998
324	479	995
325	479	991
326	480	988
327	481	985
328	481	982
329	482	979
330	482	975
331	483	972
332	484	969
333	484	966
334	485	963
335	485	960
336	487	959
337	488	957
338	489	954
339	490	952
340	491	949
341	491	946
342	492	943
343	493	940
344	494	938
345	494	935
346	495	931
347	495	928
348	496	925
349	496	922
350	497	919
351	498	917
352	498	914
353	499	911
354	500	908
355	501	906
356	502	905
357	504	904
358	505	902
359	506	899
360	507	898
361	508	895
362	509	893
363	509	890
364	510	888
365	511	886
366	513	885
367	513	882
368	514	879
369	515	877
370	516	875
371	518	875
372	519	873
373	520	871
374	521	869
375	522	866
376	523	864
377	523	862
378	524	859
379	525	857
380	525	854
381	526	851
382	527	849
383	527	846
384	528	844
385	529	841
386	529	839
387	530	836
388	532	836
389	534	836
390	535	834
391	536	831
392	537	829
393	537	827
394	538	825
395	539	822
396	540	820
397	540	818
398	541	815
399	542	813
400	542	810
401	543	808
402	543	805
403	544	803
404	545	801
405	546	799
406	548	799
407	549	797
408	550	795
409	551	793
410	552	791
411	553	789
412	553	787
413	554	784
414	555	782
415	555	779
416	556	777
417	557	775
418	557	773
419	558	770
420	558	768
421	559	766
422	560	764
423	564	766
424	566	766
425	567	764
426	567	762
427	568	759
428	569	757
429	570	755
430	570	753
431	571	751
432	572	749
433	572	746
434	573	744
435	573	742
436	574	740
437	575	738
438	577	738
439	579	737
440	580	735
441	581	733
442	581	731
443	582	729
444	583	727
445	584	725
446	584	723
447	585	721
448	586	719
449	586	717
450	587	714
451	587	712
452	588	710
453	589	708
454	589	706
455	590	704
456	592	704
457	594	703
458	595	701
459	596	699
460	596	697
461	597	696
462	598	694
463	599	691
464	599	689
465	600	687
466	600	685
467	601	683
468	602	681
469	603	679
470	603	677
471	604	675
472	604	673
473	606	673
474	608	672
475	609	670
476	610	669
477	610	667
478	612	665
479	613	664
480	613	662
481	614	660
482	614	658
483	615	656
484	616	654
485	616	652
486	617	650
487	618	648
488	618	646
489	619	644
490	620	642
491	622	642
492	623	641
493	624	639
494	625	638
495	626	636
496	627	634
497	627	632
498	628	630
499	629	629
500	629	627
501	630	625
502	630	623
503	631	621
504	632	619
505	632	617
506	633	615
507	634	614
508	634	612
509	635	610
510	637	610
511	639	609
512	639	607
513	640	605
514	641	604
515	642	602
516	642	600
517	643	598
518	644	597
519	645	595
520	645	593
521	646	592
522	647	590
523	647	588
524	648	586
525	649	584
526	649	583
527	650	581
528	652	580
529	653	579
530	654	577
531	655	576
532	655	574
533	656	572
534	657	571
535	658	569
536	658	567
537	659	566
538	659	564
539	660	562
540	660	560
541	661	559
542	662	557
543	662	555
544	663	553
545	663	552
546	664	550
547	666	549
548	668	549
549	669	547
550	670	546
551	671	544
552	672	543
553	672	541
554	673	540
555	674	538
556	674	536
557	675	535
558	676	533
559	676	531
560	677	530
561	677	528
562	678	526
563	679	525
564	679	523
565	680	522
566	682	521
567	683	519
568	684	518
569	685	516
570	685	515
571	686	513
572	687	512
573	688	510
574	688	509
575	689	507
576	690	505
577	691	504
578	692	503
579	693	501
580	693	500
581	694	498
582	695	497
583	696	496
584	698	495
585	699	494
586	700	492
587	701	491
588	701	489
589	702	488
590	703	486
591	704	485
592	704	483
593	705	482
594	706	480
595	707	479
596	707	477
597	708	476
598	708	474
599	709	473
600	710	471
601	712	471
602	714	470
603	715	468
604	715	467
605	717	466
606	717	464
607	718	463
608	719	461
609	719	460
610	720	458
611	720	457
612	721	455
613	722	454
614	722	452
615	723	451
616	724	449
617	724	448
618	725	446
619	727	446
620	729	445
621	730	443
622	731	442
623	731	441
624	732	439
625	733	438
626	733	436
627	734	435
628	735	433
629	735	432
630	736	430
631	737	429
632	737	427
633	738	426
634	739	424
635	739	423
636	740	421
637	742	421
638	743	420
639	744	418
640	745	417
641	746	416
642	747	414
643	747	413
644	748	411
645	748	410
646	749	408
647	750	407
648	750	406
649	751	404
650	752	403
651	752	401
652	753	400
653	753	398
654	754	397
655	755	396
656	757	395
657	759	394
658	760	393
659	761	392
660	763	391
661	764	390
662	765	388
663	765	387
664	766	386
665	767	384
666	767	383
667	768	381
668	768	380
669	769	379
670	770	377
671	771	376
672	773	375
673	774	374
674	775	373
675	776	371
676	776	370
677	777	369
678	778	367
679	778	366
680	779	365
681	780	363
682	781	362
683	781	361
684	782	359
685	782	358
686	783	356
687	784	355
688	784	354
689	785	352
690	787	352
691	788	351
692	789	349
693	790	348
694	791	347
695	792	346
696	792	344
697	793	343
698	794	341
699	794	340
700	795	339
701	795	337
702	796	336
703	797	335
704	798	333
705	798	332
706	799	331
707	801	330
708	803	329
709	804	328
710	805	327
711	806	326
712	806	324
713	807	323
714	808	322
715	809	321
716	810	319
717	810	318
718	811	317
719	811	315
720	812	314
721	813	313
722	814	311
723	814	310
724	815	309
725	817	308
726	818	307
727	819	306
728	820	305
729	821	303
730	822	302
731	823	301
732	823	300
733	824	298
734	824	297
735	825	296
736	826	294
737	826	293
738	827	292
739	828	290
740	828	289
741	829	288
742	830	287
743	830	285
744	832	284
745	833	283
746	834	282
747	835	281
748	836	280
749	837	279
750	837	277
751	838	276
752	838	275
753	839	273
754	840	272
755	840	271
756	841	270
757	842	268
758	842	267
759	843	266
760	844	265
761	844	263
762	845	262
763	847	261
764	848	260
765	849	259
766	850	258
767	850	257
768	851	255
769	852	254
770	853	253
771	853	252
772	854	250
773	855	249
774	856	248
775	856	247
776	858	246
777	859	245
778	859	243
779	860	242
780	861	241
781	862	240
782	863	239
783	864	238
784	865	237
785	866	235
786	866	234
787	867	233
788	868	232
789	868	230
790	869	229
791	869	228
792	870	227
793	871	226
794	872	224
795	872	223
796	873	222
797	874	221
798	874	220
799	875	218
800	876	217
801	877	216
802	878	215
803	879	214
804	879	213
805	880	211
806	881	210
807	882	209
808	882	208
809	883	207
810	884	206
811	884	204
812	885	203
813	886	202
814	886	201
815	887	200
816	887	198
817	888	197
818	889	196
819	889	195
820	891	194
821	892	193
822	893	192
823	894	191
824	895	189
825	896	188
826	897	187
827	897	186
828	898	185
829	899	184
830	900	183
831	901	181
832	901	180
833	902	179
834	903	178
835	904	177
836	904	176
837	905	175
838	907	174
839	908	173
840	909	171
841	910	170
842	910	169
843	911	168
844	912	167
845	912	166
846	913	165
847	914	163
848	915	162
849	916	161
850	916	160
851	917	159
852	918	158
853	918	157
854	919	155
855	921	154
856	922	153
857	923	152
858	924	151
859	925	150
860	926	149
861	927	148
862	928	147
863	929	146
864	930	145
865	930	144
866	931	142
867	931	141
868	932	140
869	933	139
870	933	138
871	934	137
872	935	136
873	936	135
874	938	134
875	938	132
876	939	131
877	940	130
878	941	129
879	941	128
880	942	127
881	942	126
882	943	125
883	944	123
884	944	122
885	945	121
886	946	120
887	946	119
888	947	118
889	947	117
890	948	116
891	949	114
892	949	113
893	950	112
894	952	111
895	954	110
896	954	109
897	955	108
898	956	107
899	956	106
900	957	105
901	958	104
902	958	102
903	959	101
904	960	100
905	960	99
906	961	98
907	961	97
908	962	96
909	963	95
910	963	94
911	964	93
912	965	91
913	967	91
914	968	89
915	969	88
916	969	87
917	970	86
918	971	85
919	972	84
920	972	83
921	973	82
922	974	81
923	975	80
924	975	79
925	976	78
926	977	77
927	978	75
928	979	74
929	980	73
930	980	72
931	983	71
932	984	70
933	985	69
934	986	68
935	986	67
936	987	66
937	987	65
938	988	64
939	989	63
940	989	62
941	990	60
942	991	59
943	991	58
944	992	57
945	992	56
946	993	55
947	994	54
948	995	53
949	997	52
950	998	51
951	999	50
952	1000	49
953	1001	48
954	1002	47
955	1002	46
956	1003	45
957	1004	44
958	1004	42
959	1005	41
960	1005	40
961	1006	39
962	1007	38
963	1007	37
964	1008	36
965	1009	35
966	1009	34
967	1010	33
968	1011	32
969	1013	31
970	1013	30
971	1014	29
972	1015	28
973	1016	27
974	1016	26
975	1017	25
976	1018	23
977	1018	22
978	1019	21
979	1020	20
980	1020	19
981	1021	18
982	1022	17
983	1023	16
984	1024	15
985	1024	14
986	1026	13
987	1027	12
988	1028	11
989	1029	10
990	1030	9
991	1030	8
992	1031	7
993	1031	6
994	1032	5
995	1033	4
996	1033	3
997	1034	2
998	1035	1
999	1035	0
